Sr. No.,Value date,Transaction Date,Cheque Number,Transacting Remarks,Withdrawal Amount,Deposit Amount,Balance
1261,2021-12-27,2021-12-27 01:48,,Coffee Shop,52.40,0.00,1470207.87
1262,2021-12-28,2021-12-28 14:54,,Utilities - Electricity,650.51,0.00,1469557.36
1263,2021-12-29,2021-12-29 23:55,,Coffee Shop,33.75,0.00,1469523.61
1264,2021-12-29,2021-12-29 14:48,,Fuel,203.65,0.00,1469319.96
1265,2021-12-30,2021-12-30 15:30,,Groceries - Supermarket,267.44,0.00,1469052.52
1266,2021-12-31,2021-12-31 04:05,,Groceries - Supermarket,620.12,0.00,1468432.40
1267,2022-01-01,2022-01-01 01:11,,Coffee Shop,35.69,0.00,1468396.71
1268,2022-01-01,2022-01-01 09:43,,Dining - Casual Restaurant,101.19,0.00,1468295.52
1269,2022-01-02,2022-01-02 18:00,,Salary - Regular,0.00,5021.25,1473316.77
1270,2022-01-04,2022-01-04 16:31,,Investment Returns - Stocks,0.00,7922.12,1481238.89
1271,2022-01-04,2022-01-04 07:53,,Groceries - Supermarket,396.97,0.00,1480841.92
1272,2022-01-04,2022-01-04 15:19,,Salary - Regular,0.00,5864.70,1486706.62
1273,2022-01-05,2022-01-05 10:41,,Dining - Fine Dining,945.07,0.00,1485761.55
1274,2022-01-05,2022-01-05 17:18,,Utilities - Water,100.97,0.00,1485660.58
1275,2022-01-05,2022-01-05 22:13,,Utilities - Water,147.02,0.00,1485513.56
1276,2022-01-06,2022-01-06 22:22,,Salary - Regular,0.00,3283.13,1488796.69
1277,2022-01-06,2022-01-06 00:58,,Dining - Casual Restaurant,144.99,0.00,1488651.70
1278,2022-01-07,2022-01-07 10:10,,Entertainment - Concerts,329.42,0.00,1488322.28
1279,2022-01-07,2022-01-07 15:26,,Dining - Casual Restaurant,199.61,0.00,1488122.67
1280,2022-01-08,2022-01-08 21:47,,Groceries - Online Delivery,310.48,0.00,1487812.19
1281,2022-01-09,2022-01-09 00:25,,Public Transport,3.72,0.00,1487808.47
1282,2022-01-09,2022-01-09 00:02,,Investment Returns - Stocks,0.00,7163.52,1494971.99
1283,2022-01-10,2022-01-10 10:53,,Investment - Stocks,14273.00,0.00,1480698.99
1284,2022-01-10,2022-01-10 16:52,,Freelance Income,0.00,3479.26,1484178.25
1285,2022-01-11,2022-01-11 09:19,,Fuel,35.16,0.00,1484143.09
1286,2022-01-12,2022-01-12 16:11,,Rental Income,0.00,4625.07,1488768.16
1287,2022-01-12,2022-01-12 18:14,,Investment Returns - Crypto,0.00,4527.24,1493295.40
1288,2022-01-13,2022-01-13 16:57,,Rental Income,0.00,1821.84,1495117.24
1289,2022-01-14,2022-01-14 22:27,,Groceries - Online Delivery,196.29,0.00,1494920.95
1290,2022-01-15,2022-01-15 13:33,,Salary - Regular,0.00,5436.46,1500357.41
1291,2022-01-16,2022-01-16 20:06,,Salary - Bonus,0.00,8925.07,1509282.48
1292,2022-01-16,2022-01-16 01:46,,Coffee Shop,32.37,0.00,1509250.11
1293,2022-01-17,2022-01-17 21:52,,Entertainment - Concerts,277.29,0.00,1508972.82
1294,2022-01-17,2022-01-17 15:24,,Cashback,0.00,112.17,1509084.99
1295,2022-01-18,2022-01-18 01:28,,Freelance Income,0.00,4529.40,1513614.39
1296,2022-01-19,2022-01-19 09:14,,Groceries - Supermarket,275.30,0.00,1513339.09
1297,2022-01-20,2022-01-20 22:45,,Dining - Casual Restaurant,87.25,0.00,1513251.84
1298,2022-01-20,2022-01-20 19:33,,Public Transport,10.56,0.00,1513241.28
1299,2022-01-21,2022-01-21 08:10,,Dining - Casual Restaurant,159.11,0.00,1513082.17
1300,2022-01-22,2022-01-22 00:43,,Coffee Shop,37.18,0.00,1513044.99
1301,2022-01-22,2022-01-22 06:50,,Loan EMI,2199.07,0.00,1510845.92
1302,2022-01-22,2022-01-22 21:54,,Salary - Regular,0.00,6500.54,1517346.46
1303,2022-01-23,2022-01-23 13:58,,Groceries - Online Delivery,214.04,0.00,1517132.42
1304,2022-01-23,2022-01-23 02:09,,Dining - Fine Dining,383.01,0.00,1516749.41
1305,2022-01-23,2022-01-23 09:15,,Coffee Shop,20.34,0.00,1516729.07
1306,2022-01-24,2022-01-24 10:58,,Rental Income,0.00,3523.22,1520252.29
1307,2022-01-25,2022-01-25 04:07,,Groceries - Supermarket,225.13,0.00,1520027.16
1308,2022-01-25,2022-01-25 17:08,,Coffee Shop,15.05,0.00,1520012.11
1309,2022-01-25,2022-01-25 21:49,,Salary - Regular,0.00,7876.48,1527888.59
1310,2022-01-26,2022-01-26 17:41,,Utilities - Electricity,242.07,0.00,1527646.52
1311,2022-01-26,2022-01-26 23:21,,Entertainment - Concerts,486.73,0.00,1527159.79
1312,2022-01-27,2022-01-27 05:10,,Dining - Fine Dining,558.61,0.00,1526601.18
1313,2022-01-27,2022-01-27 14:13,,Loan EMI,2825.99,0.00,1523775.19
1314,2022-01-28,2022-01-28 03:55,,Dining - Fine Dining,291.20,0.00,1523483.99
1315,2022-01-29,2022-01-29 05:00,,Groceries - Online Delivery,304.35,0.00,1523179.64
1316,2022-01-29,2022-01-29 00:04,,Groceries - Supermarket,322.22,0.00,1522857.42
1317,2022-01-30,2022-01-30 02:56,,Dining - Fine Dining,415.11,0.00,1522442.31
1318,2022-01-30,2022-01-30 02:21,,Groceries - Supermarket,244.02,0.00,1522198.29
1319,2022-01-30,2022-01-30 16:33,,Investment Returns - Crypto,0.00,4225.45,1526423.74
1320,2022-01-31,2022-01-31 15:53,,Utilities - Electricity,184.12,0.00,1526239.62
1321,2022-01-31,2022-01-31 22:16,,Groceries - Supermarket,224.56,0.00,1526015.06
1322,2022-02-01,2022-02-01 08:07,,Dividends,0.00,409.10,1526424.16
1323,2022-02-02,2022-02-02 10:05,,Groceries - Online Delivery,201.73,0.00,1526222.43
1324,2022-02-02,2022-02-02 16:15,,Salary - Regular,0.00,3596.08,1529818.51
1325,2022-02-02,2022-02-02 06:48,,Salary - Regular,0.00,6374.19,1536192.70
1326,2022-02-03,2022-02-03 02:30,,Dividends,0.00,455.27,1536647.97
1327,2022-02-03,2022-02-03 17:55,,Groceries - Online Delivery,163.26,0.00,1536484.71
1328,2022-02-04,2022-02-04 20:03,,Dining - Casual Restaurant,45.25,0.00,1536439.46
1329,2022-02-05,2022-02-05 12:38,,Investment Returns - Crypto,0.00,798.60,1537238.06
1330,2022-02-07,2022-02-07 01:46,,Entertainment - Concerts,288.88,0.00,1536949.18
1331,2022-02-07,2022-02-07 00:59,,Salary - Regular,0.00,7684.96,1544634.14
1332,2022-02-08,2022-02-08 04:28,,Fuel,32.15,0.00,1544601.99
1333,2022-02-08,2022-02-08 14:06,,Investment Returns - Stocks,0.00,3435.60,1548037.59
1334,2022-02-09,2022-02-09 06:40,,Fuel,70.52,0.00,1547967.07
1335,2022-02-09,2022-02-09 10:21,,Salary - Bonus,0.00,21352.63,1569319.70
1336,2022-02-10,2022-02-10 09:53,,Groceries - Supermarket,287.97,0.00,1569031.73
1337,2022-02-10,2022-02-10 20:31,,Salary - Regular,0.00,3326.19,1572357.92
1338,2022-02-11,2022-02-11 14:46,,Salary - Regular,0.00,7181.70,1579539.62
1339,2022-02-11,2022-02-11 08:49,,Dividends,0.00,1157.24,1580696.86
1340,2022-02-12,2022-02-12 09:09,,Freelance Income,0.00,4031.66,1584728.52
1341,2022-02-12,2022-02-12 20:14,,Salary - Regular,0.00,4097.44,1588825.96
1342,2022-02-13,2022-02-13 19:11,,Entertainment - Movies,85.05,0.00,1588740.91
1343,2022-02-14,2022-02-14 10:46,,Public Transport,10.13,0.00,1588730.78
1344,2022-02-14,2022-02-14 16:28,,Coffee Shop,8.56,0.00,1588722.22
1345,2022-02-14,2022-02-14 10:54,,Dining - Fine Dining,843.29,0.00,1587878.93
1346,2022-02-15,2022-02-15 14:08,,Healthcare - Regular,161.53,0.00,1587717.40
1347,2022-02-17,2022-02-17 13:50,,Utilities - Electricity,369.26,0.00,1587348.14
1348,2022-02-17,2022-02-17 12:02,,Rental Income,0.00,3676.90,1591025.04
1349,2022-02-18,2022-02-18 18:26,,Salary - Regular,0.00,7333.10,1598358.14
1350,2022-02-19,2022-02-19 09:10,,Dining - Fine Dining,1296.74,0.00,1597061.40
1351,2022-02-19,2022-02-19 16:38,,Freelance Income,0.00,6044.55,1603105.95
1352,2022-02-21,2022-02-21 09:13,,Entertainment - Concerts,872.10,0.00,1602233.85
1353,2022-02-23,2022-02-23 21:19,,Coffee Shop,26.09,0.00,1602207.76
1354,2022-02-24,2022-02-24 18:42,,Utilities - Electricity,100.31,0.00,1602107.45
1355,2022-02-26,2022-02-26 19:16,,Groceries - Online Delivery,194.40,0.00,1601913.05
1356,2022-02-26,2022-02-26 19:06,,Salary - Regular,0.00,5331.07,1607244.12
1357,2022-02-26,2022-02-26 07:31,,Utilities - Electricity,280.92,0.00,1606963.20
1358,2022-02-28,2022-02-28 10:15,,Groceries - Online Delivery,205.66,0.00,1606757.54
1359,2022-02-28,2022-02-28 20:50,,Fuel,44.83,0.00,1606712.71
1360,2022-02-28,2022-02-28 05:59,,Groceries - Supermarket,211.22,0.00,1606501.49
1361,2022-03-02,2022-03-02 10:49,,Groceries - Online Delivery,174.39,0.00,1606327.10
1362,2022-03-04,2022-03-04 17:26,,Loan EMI,1492.53,0.00,1604834.57
1363,2022-03-04,2022-03-04 06:47,,Freelance Income,0.00,3124.80,1607959.37
1364,2022-03-04,2022-03-04 22:15,,Groceries - Supermarket,317.28,0.00,1607642.09
1365,2022-03-04,2022-03-04 11:16,,Fuel,56.10,0.00,1607585.99
1366,2022-03-05,2022-03-05 00:25,,Freelance Income,0.00,1450.42,1609036.41
1367,2022-03-05,2022-03-05 11:46,,Freelance Income,0.00,979.97,1610016.38
1368,2022-03-05,2022-03-05 08:56,,Utilities - Electricity,417.63,0.00,1609598.75
1369,2022-03-06,2022-03-06 14:00,,Groceries - Online Delivery,250.07,0.00,1609348.68
1370,2022-03-07,2022-03-07 20:05,,Entertainment - Concerts,395.68,0.00,1608953.00
1371,2022-03-08,2022-03-08 07:14,,Freelance Income,0.00,1825.36,1610778.36
1372,2022-03-08,2022-03-08 00:44,,Coffee Shop,5.75,0.00,1610772.61
1373,2022-03-08,2022-03-08 22:06,,Salary - Regular,0.00,8135.49,1618908.10
1374,2022-03-09,2022-03-09 04:12,,Salary - Bonus,0.00,8560.99,1627469.09
1375,2022-03-10,2022-03-10 09:14,,Freelance Income,0.00,3371.07,1630840.16
1376,2022-03-10,2022-03-10 14:44,,Loan EMI,1389.75,0.00,1629450.41
1377,2022-03-11,2022-03-11 12:50,,Public Transport,2.77,0.00,1629447.64
1378,2022-03-12,2022-03-12 03:55,,Rental Income,0.00,4580.89,1634028.53
1379,2022-03-12,2022-03-12 00:19,,Dining - Casual Restaurant,191.94,0.00,1633836.59
1380,2022-03-13,2022-03-13 20:01,,Loan EMI,3627.37,0.00,1630209.22
1381,2022-03-13,2022-03-13 16:40,,Healthcare - Emergency,7716.92,0.00,1622492.30
1382,2022-03-13,2022-03-13 01:43,,Investment Returns - Stocks,0.00,7857.44,1630349.74
1383,2022-03-14,2022-03-14 08:11,,Entertainment - Movies,66.95,0.00,1630282.79
1384,2022-03-14,2022-03-14 15:22,,Dining - Fine Dining,601.41,0.00,1629681.38
1385,2022-03-14,2022-03-14 03:00,,Dining - Casual Restaurant,286.94,0.00,1629394.44
1386,2022-03-15,2022-03-15 18:36,,Salary - Regular,0.00,5943.85,1635338.29
1387,2022-03-16,2022-03-16 10:00,,Salary - Regular,0.00,4293.89,1639632.18
1388,2022-03-17,2022-03-17 09:16,,Entertainment - Movies,40.81,0.00,1639591.37
1389,2022-03-19,2022-03-19 16:19,,Entertainment - Movies,106.25,0.00,1639485.12
1390,2022-03-20,2022-03-20 13:06,,Fuel,201.86,0.00,1639283.26
1391,2022-03-20,2022-03-20 08:01,,Dividends,0.00,1158.15,1640441.41
1392,2022-03-21,2022-03-21 12:06,,Rental Income,0.00,3749.23,1644190.64
1393,2022-03-21,2022-03-21 05:48,,Coffee Shop,7.33,0.00,1644183.31
1394,2022-03-22,2022-03-22 05:34,,Utilities - Water,159.61,0.00,1644023.70
1395,2022-03-23,2022-03-23 03:02,,Salary - Bonus,0.00,20187.32,1664211.02
1396,2022-03-23,2022-03-23 06:46,,Fuel,36.58,0.00,1664174.44
1397,2022-03-24,2022-03-24 02:31,,Cashback,0.00,319.81,1664494.25
1398,2022-03-24,2022-03-24 17:19,,Utilities - Electricity,85.65,0.00,1664408.60
1399,2022-03-24,2022-03-24 18:04,,Utilities - Water,109.72,0.00,1664298.88
1400,2022-03-26,2022-03-26 23:05,,Rental Income,0.00,3010.59,1667309.47
1401,2022-03-27,2022-03-27 02:23,,Salary - Bonus,0.00,9741.08,1677050.55
1402,2022-03-27,2022-03-27 11:28,,Dining - Fine Dining,568.83,0.00,1676481.72
1403,2022-03-27,2022-03-27 12:54,,Rental Income,0.00,2203.92,1678685.64
1404,2022-03-28,2022-03-28 10:15,,Freelance Income,0.00,1065.39,1679751.03
1405,2022-03-28,2022-03-28 09:30,,Dining - Fine Dining,707.37,0.00,1679043.66
1406,2022-03-29,2022-03-29 04:04,,Dining - Fine Dining,921.55,0.00,1678122.11
1407,2022-03-29,2022-03-29 10:07,,Entertainment - Movies,49.21,0.00,1678072.90
1408,2022-03-29,2022-03-29 23:15,,Dining - Casual Restaurant,106.49,0.00,1677966.41
1409,2022-03-30,2022-03-30 19:15,,Dining - Casual Restaurant,152.64,0.00,1677813.77
1410,2022-03-31,2022-03-31 15:27,,Freelance Income,0.00,2628.69,1680442.46
1411,2022-04-01,2022-04-01 17:14,,Loan EMI,2382.15,0.00,1678060.31
1412,2022-04-02,2022-04-02 09:16,,Coffee Shop,38.41,0.00,1678021.90
1413,2022-04-02,2022-04-02 14:24,,Groceries - Online Delivery,235.00,0.00,1677786.90
1414,2022-04-02,2022-04-02 08:25,,Groceries - Online Delivery,163.29,0.00,1677623.61
1415,2022-04-03,2022-04-03 22:36,,Healthcare - Emergency,4948.84,0.00,1672674.77
1416,2022-04-03,2022-04-03 03:14,,Coffee Shop,46.43,0.00,1672628.34
1417,2022-04-04,2022-04-04 14:06,,Fuel,52.52,0.00,1672575.82
1418,2022-04-05,2022-04-05 09:08,,Coffee Shop,26.49,0.00,1672549.33
1419,2022-04-06,2022-04-06 00:57,,Groceries - Supermarket,77.40,0.00,1672471.93
1420,2022-04-06,2022-04-06 03:01,,Groceries - Supermarket,213.48,0.00,1672258.45
1421,2022-04-07,2022-04-07 17:21,,Public Transport,8.68,0.00,1672249.77
1422,2022-04-07,2022-04-07 08:35,,Healthcare - Emergency,4174.63,0.00,1668075.14
1423,2022-04-08,2022-04-08 23:42,,Dining - Casual Restaurant,42.61,0.00,1668032.53
1424,2022-04-08,2022-04-08 21:36,,Dining - Casual Restaurant,192.82,0.00,1667839.71
1425,2022-04-09,2022-04-09 00:50,,Fuel,54.89,0.00,1667784.82
1426,2022-04-11,2022-04-11 16:14,,Dining - Casual Restaurant,52.18,0.00,1667732.64
1427,2022-04-12,2022-04-12 00:27,,Salary - Regular,0.00,4374.03,1672106.67
1428,2022-04-13,2022-04-13 17:01,,Investment Returns - Stocks,0.00,2766.69,1674873.36
1429,2022-04-13,2022-04-13 05:09,,Utilities - Electricity,188.47,0.00,1674684.89
1430,2022-04-14,2022-04-14 05:53,,Investment Returns - Stocks,0.00,1857.32,1676542.21
1431,2022-04-14,2022-04-14 17:09,,Investment - Crypto,3784.13,0.00,1672758.08
1432,2022-04-15,2022-04-15 23:43,,Investment - Stocks,4385.09,0.00,1668372.99
1433,2022-04-15,2022-04-15 15:35,,Cashback,0.00,77.86,1668450.85
1434,2022-04-16,2022-04-16 07:19,,Groceries - Supermarket,322.75,0.00,1668128.10
1435,2022-04-16,2022-04-16 08:43,,Cashback,0.00,514.22,1668642.32
1436,2022-04-16,2022-04-16 08:22,,Public Transport,8.85,0.00,1668633.47
1437,2022-04-17,2022-04-17 03:25,,Investment Returns - Stocks,0.00,7947.12,1676580.59
1438,2022-04-18,2022-04-18 14:01,,Dining - Fine Dining,1070.50,0.00,1675510.09
1439,2022-04-18,2022-04-18 22:38,,Dining - Casual Restaurant,146.69,0.00,1675363.40
1440,2022-04-18,2022-04-18 12:05,,Dividends,0.00,1567.42,1676930.82
1441,2022-04-19,2022-04-19 04:48,,Salary - Regular,0.00,6620.99,1683551.81
1442,2022-04-19,2022-04-19 23:54,,Coffee Shop,8.05,0.00,1683543.76
1443,2022-04-20,2022-04-20 09:06,,Investment Returns - Crypto,0.00,2424.74,1685968.50
1444,2022-04-20,2022-04-20 07:19,,Fuel,55.73,0.00,1685912.77
1445,2022-04-22,2022-04-22 13:39,,Dining - Casual Restaurant,153.33,0.00,1685759.44
1446,2022-04-22,2022-04-22 09:22,,Investment - Crypto,8341.61,0.00,1677417.83
1447,2022-04-23,2022-04-23 15:23,,Dividends,0.00,266.79,1677684.62
1448,2022-04-23,2022-04-23 04:37,,Coffee Shop,21.13,0.00,1677663.49
1449,2022-04-23,2022-04-23 15:41,,Salary - Regular,0.00,6317.58,1683981.07
1450,2022-04-23,2022-04-23 13:39,,Utilities - Electricity,295.51,0.00,1683685.56
1451,2022-04-24,2022-04-24 22:35,,Fuel,117.54,0.00,1683568.02
1452,2022-04-24,2022-04-24 22:09,,Freelance Income,0.00,4418.23,1687986.25
1453,2022-04-25,2022-04-25 05:05,,Freelance Income,0.00,742.78,1688729.03
1454,2022-04-26,2022-04-26 02:13,,Coffee Shop,30.53,0.00,1688698.50
1455,2022-04-26,2022-04-26 15:21,,Utilities - Water,221.59,0.00,1688476.91
1456,2022-04-27,2022-04-27 02:08,,Groceries - Supermarket,101.76,0.00,1688375.15
1457,2022-04-28,2022-04-28 07:24,,Entertainment - Movies,32.58,0.00,1688342.57
1458,2022-05-01,2022-05-01 14:59,,Utilities - Water,209.10,0.00,1688133.47
1459,2022-05-01,2022-05-01 11:30,,Fuel,85.84,0.00,1688047.63
1460,2022-05-01,2022-05-01 09:04,,Fuel,50.93,0.00,1687996.70
1461,2022-05-02,2022-05-02 12:19,,Investment Returns - Crypto,0.00,2172.83,1690169.53
1462,2022-05-02,2022-05-02 05:40,,Dining - Fine Dining,722.47,0.00,1689447.06
1463,2022-05-02,2022-05-02 21:24,,Groceries - Supermarket,358.27,0.00,1689088.79
1464,2022-05-03,2022-05-03 11:25,,Utilities - Electricity,90.55,0.00,1688998.24
1465,2022-05-05,2022-05-05 17:34,,Fuel,27.34,0.00,1688970.90
1466,2022-05-05,2022-05-05 12:57,,Investment - Crypto,5571.25,0.00,1683399.65
1467,2022-05-06,2022-05-06 15:50,,Dividends,0.00,313.63,1683713.28
1468,2022-05-07,2022-05-07 12:26,,Dining - Casual Restaurant,45.96,0.00,1683667.32
1469,2022-05-07,2022-05-07 18:35,,Public Transport,5.04,0.00,1683662.28
1470,2022-05-09,2022-05-09 01:11,,Loan EMI,2650.79,0.00,1681011.49
1471,2022-05-10,2022-05-10 08:07,,Dining - Casual Restaurant,152.65,0.00,1680858.84
1472,2022-05-10,2022-05-10 00:35,,Utilities - Water,135.10,0.00,1680723.74
1473,2022-05-10,2022-05-10 03:04,,Investment Returns - Crypto,0.00,333.24,1681056.98
1474,2022-05-11,2022-05-11 16:27,,Fuel,102.21,0.00,1680954.77
1475,2022-05-12,2022-05-12 03:02,,Healthcare - Regular,205.77,0.00,1680749.00
1476,2022-05-12,2022-05-12 09:09,,Coffee Shop,7.44,0.00,1680741.56
1477,2022-05-13,2022-05-13 23:11,,Utilities - Electricity,163.16,0.00,1680578.40
1478,2022-05-14,2022-05-14 03:19,,Dining - Casual Restaurant,174.68,0.00,1680403.72
1479,2022-05-14,2022-05-14 11:00,,Utilities - Electricity,199.00,0.00,1680204.72
1480,2022-05-15,2022-05-15 08:31,,Salary - Regular,0.00,4763.14,1684967.86
1481,2022-05-16,2022-05-16 16:05,,Coffee Shop,26.08,0.00,1684941.78
1482,2022-05-16,2022-05-16 19:46,,Groceries - Online Delivery,142.50,0.00,1684799.28
1483,2022-05-17,2022-05-17 08:52,,Groceries - Supermarket,374.85,0.00,1684424.43
1484,2022-05-17,2022-05-17 16:01,,Groceries - Online Delivery,98.52,0.00,1684325.91
1485,2022-05-18,2022-05-18 18:47,,Freelance Income,0.00,2242.60,1686568.51
1486,2022-05-19,2022-05-19 13:31,,Entertainment - Concerts,495.83,0.00,1686072.68
1487,2022-05-19,2022-05-19 02:50,,Dining - Casual Restaurant,82.56,0.00,1685990.12
1488,2022-05-20,2022-05-20 18:07,,Rental Income,0.00,2463.01,1688453.13
1489,2022-05-20,2022-05-20 18:45,,Dining - Casual Restaurant,71.64,0.00,1688381.49
1490,2022-05-20,2022-05-20 07:39,,Freelance Income,0.00,1427.66,1689809.15
1491,2022-05-21,2022-05-21 19:51,,Salary - Regular,0.00,4243.87,1694053.02
1492,2022-05-21,2022-05-21 11:47,,Freelance Income,0.00,1856.93,1695909.95
1493,2022-05-22,2022-05-22 16:30,,Dividends,0.00,57.42,1695967.37
1494,2022-05-22,2022-05-22 20:14,,Salary - Regular,0.00,5900.90,1701868.27
1495,2022-05-23,2022-05-23 00:08,,Utilities - Water,44.70,0.00,1701823.57
1496,2022-05-24,2022-05-24 14:22,,Rental Income,0.00,4872.51,1706696.08
1497,2022-05-25,2022-05-25 08:59,,Groceries - Supermarket,243.61,0.00,1706452.47
1498,2022-05-25,2022-05-25 23:42,,Investment Returns - Crypto,0.00,759.30,1707211.77
1499,2022-05-27,2022-05-27 10:43,,Groceries - Online Delivery,152.36,0.00,1707059.41
1500,2022-05-27,2022-05-27 23:22,,Investment - Stocks,5217.86,0.00,1701841.55
1501,2022-05-28,2022-05-28 00:10,,Dining - Casual Restaurant,239.80,0.00,1701601.75
1502,2022-05-28,2022-05-28 04:48,,Freelance Income,0.00,4427.51,1706029.26
1503,2022-05-29,2022-05-29 02:04,,Dividends,0.00,1531.41,1707560.67
1504,2022-05-29,2022-05-29 05:41,,Utilities - Electricity,122.43,0.00,1707438.24
1505,2022-05-30,2022-05-30 11:00,,Entertainment - Movies,29.16,0.00,1707409.08
1506,2022-05-31,2022-05-31 08:45,,Freelance Income,0.00,4117.62,1711526.70
1507,2022-05-31,2022-05-31 02:32,,Groceries - Online Delivery,283.37,0.00,1711243.33
1508,2022-06-02,2022-06-02 07:20,,Groceries - Online Delivery,117.78,0.00,1711125.55
1509,2022-06-02,2022-06-02 14:09,,Utilities - Electricity,433.68,0.00,1710691.87
1510,2022-06-03,2022-06-03 06:28,,Groceries - Supermarket,304.38,0.00,1710387.49
1511,2022-06-04,2022-06-04 15:34,,Public Transport,7.02,0.00,1710380.47
1512,2022-06-04,2022-06-04 16:46,,Loan EMI,1440.11,0.00,1708940.36
1513,2022-06-04,2022-06-04 23:24,,Entertainment - Concerts,958.97,0.00,1707981.39
1514,2022-06-04,2022-06-04 23:35,,Public Transport,5.43,0.00,1707975.96
1515,2022-06-05,2022-06-05 11:58,,Freelance Income,0.00,2790.65,1710766.61
1516,2022-06-06,2022-06-06 10:40,,Investment Returns - Crypto,0.00,3028.62,1713795.23
1517,2022-06-07,2022-06-07 14:33,,Utilities - Water,146.81,0.00,1713648.42
1518,2022-06-08,2022-06-08 11:18,,Freelance Income,0.00,5250.48,1718898.90
1519,2022-06-08,2022-06-08 23:09,,Loan EMI,1830.23,0.00,1717068.67
1520,2022-06-09,2022-06-09 19:19,,Fuel,51.56,0.00,1717017.11
1521,2022-06-09,2022-06-09 11:04,,Dining - Fine Dining,788.87,0.00,1716228.24
1522,2022-06-09,2022-06-09 05:18,,Rental Income,0.00,2377.91,1718606.15
1523,2022-06-10,2022-06-10 18:44,,Investment Returns - Stocks,0.00,1533.61,1720139.76
1524,2022-06-10,2022-06-10 20:08,,Coffee Shop,20.35,0.00,1720119.41
1525,2022-06-11,2022-06-11 21:51,,Groceries - Online Delivery,158.98,0.00,1719960.43
1526,2022-06-11,2022-06-11 17:12,,Dividends,0.00,605.41,1720565.84
1527,2022-06-12,2022-06-12 13:23,,Freelance Income,0.00,1912.57,1722478.41
1528,2022-06-13,2022-06-13 12:28,,Rental Income,0.00,2530.47,1725008.88
1529,2022-06-13,2022-06-13 17:19,,Healthcare - Emergency,1887.39,0.00,1723121.49
1530,2022-06-13,2022-06-13 07:50,,Dining - Casual Restaurant,75.61,0.00,1723045.88
1531,2022-06-14,2022-06-14 02:45,,Dining - Fine Dining,218.03,0.00,1722827.85
1532,2022-06-15,2022-06-15 15:24,,Utilities - Electricity,133.58,0.00,1722694.27
1533,2022-06-17,2022-06-17 13:36,,Dividends,0.00,737.48,1723431.75
1534,2022-06-18,2022-06-18 00:05,,Public Transport,26.95,0.00,1723404.80
1535,2022-06-19,2022-06-19 01:16,,Dining - Fine Dining,460.32,0.00,1722944.48
1536,2022-06-19,2022-06-19 16:12,,Investment Returns - Crypto,0.00,4746.58,1727691.06
1537,2022-06-20,2022-06-20 17:18,,Entertainment - Concerts,717.48,0.00,1726973.58
1538,2022-06-20,2022-06-20 14:18,,Investment Returns - Crypto,0.00,550.57,1727524.15
1539,2022-06-21,2022-06-21 09:48,,Dining - Casual Restaurant,83.74,0.00,1727440.41
1540,2022-06-21,2022-06-21 02:46,,Groceries - Online Delivery,149.71,0.00,1727290.70
1541,2022-06-22,2022-06-22 15:39,,Salary - Regular,0.00,2475.75,1729766.45
1542,2022-06-23,2022-06-23 19:24,,Rental Income,0.00,3982.93,1733749.38
1543,2022-06-24,2022-06-24 17:00,,Dining - Casual Restaurant,69.34,0.00,1733680.04
1544,2022-06-25,2022-06-25 01:12,,Utilities - Electricity,114.12,0.00,1733565.92
1545,2022-06-26,2022-06-26 03:52,,Rental Income,0.00,1827.59,1735393.51
1546,2022-06-26,2022-06-26 07:49,,Fuel,98.86,0.00,1735294.65
1547,2022-06-27,2022-06-27 07:44,,Salary - Regular,0.00,3979.95,1739274.60
1548,2022-06-28,2022-06-28 08:43,,Groceries - Supermarket,207.27,0.00,1739067.33
1549,2022-06-28,2022-06-28 04:24,,Coffee Shop,7.07,0.00,1739060.26
1550,2022-06-29,2022-06-29 14:16,,Loan EMI,1085.02,0.00,1737975.24
1551,2022-06-29,2022-06-29 19:27,,Dining - Casual Restaurant,70.80,0.00,1737904.44
1552,2022-06-30,2022-06-30 11:57,,Dining - Fine Dining,740.83,0.00,1737163.61
1553,2022-06-30,2022-06-30 13:15,,Salary - Bonus,0.00,8691.12,1745854.73
1554,2022-07-01,2022-07-01 19:11,,Dining - Casual Restaurant,133.33,0.00,1745721.40
1555,2022-07-02,2022-07-02 03:19,,Investment Returns - Crypto,0.00,4599.86,1750321.26
1556,2022-07-03,2022-07-03 12:16,,Freelance Income,0.00,3069.42,1753390.68
1557,2022-07-03,2022-07-03 09:23,,Investment Returns - Stocks,0.00,2911.23,1756301.91
1558,2022-07-03,2022-07-03 04:33,,Rental Income,0.00,2213.77,1758515.68
1559,2022-07-04,2022-07-04 12:10,,Investment Returns - Crypto,0.00,5318.80,1763834.48
1560,2022-07-04,2022-07-04 17:03,,Dining - Casual Restaurant,123.41,0.00,1763711.07
1561,2022-07-04,2022-07-04 20:46,,Investment Returns - Stocks,0.00,5183.30,1768894.37
1562,2022-07-04,2022-07-04 07:05,,Groceries - Supermarket,364.35,0.00,1768530.02
1563,2022-07-05,2022-07-05 20:32,,Dining - Casual Restaurant,107.63,0.00,1768422.39
1564,2022-07-05,2022-07-05 08:26,,Fuel,47.14,0.00,1768375.25
1565,2022-07-05,2022-07-05 22:19,,Groceries - Supermarket,245.00,0.00,1768130.25
1566,2022-07-06,2022-07-06 10:53,,Dining - Casual Restaurant,70.74,0.00,1768059.51
